"","X","bill_city","acc_num","st_date","cust_age","cr_score","ph_num","ph_k_date","mon_data","data_plan_m8","disc_m8","mon_sms","mon_voice","serv_tick_m1to6","serv_tick_m7to8","data_roam","long_d_min","long_d_spend","total_pay","churn","Sample","mon_data_city","mon_sms_city","mon_voice_city","serv_tick_m1to6_city","serv_tick_m7to8_city","data_roam_city","long_d_min_city","long_d_spend_city","tot_pay_city","NA_ph_k_date","bill_amount","data_roam_value","usage_ratio"
"1",1,"Abbotsford",663698,"2019-03-18",58,4,3448979758,"2019-03-18",3.21717099677327,"10GB($65)",0,528.26268091109,589.917837318269,0.525958222590981,0.0922758096979739,1,14.1207550235483,1.33407369048682,67.9241899836964,0,"Estimation",4.47352974260271,633.804639293196,203.272215503453,0.234609673079103,0.238529057218693,2.08270203100983,37.642591400072,2.44844467360785,64.5372941749036,1,65,10,0.321717099677327
"2",2,"Abbotsford",832409,"2018-04-29",36,5,8048802615,"2018-04-29",2.87463771814444,"10GB($65)",0,1141.60571977054,40.213424421292,0.260428721107185,0.0275434684144522,2,6.33741769531681,2.41054832832322,70.3271142698624,NA,"Holdout",4.47352974260271,633.804639293196,203.272215503453,0.234609673079103,0.238529057218693,2.08270203100983,37.642591400072,2.44844467360785,64.5372941749036,1,65,10,0.287463771814444
"3",3,"Abbotsford",208363,"2017-06-25",38,5,8517211379,"2017-06-25",7.90508764403805,"10GB($65)",5,668.331166504645,181.84378855425,0.145745863902732,0.244603367626371,1,32.5880380709953,1.84835334156577,62.7433170083606,0,"Estimation",4.47352974260271,633.804639293196,203.272215503453,0.234609673079103,0.238529057218693,2.08270203100983,37.642591400072,2.44844467360785,64.5372941749036,1,65,10,0.790508764403805
"4",4,"Abbotsford",371650,"2014-04-05",51,5,140185926,"2014-04-05",2.80718876348048,"10GB($65)",5,637.443441029416,729.615999228833,0.0721293892475182,0.194196208226014,0,97.4876874807923,5.91863663669141,66.9426213541514,0,"Estimation",4.47352974260271,633.804639293196,203.272215503453,0.234609673079103,0.238529057218693,2.08270203100983,37.642591400072,2.44844467360785,64.5372941749036,1,65,10,0.280718876348048
"5",5,"Abbotsford",810966,"2015-09-29",57,4,4443843678,"2016-05-06",3.4800116034603,"10GB($65)",5,392.152485703951,202.123766434492,0.0249031310179233,0.0319345960936694,1,57.423392296157,5.03366382803785,66.0600833604386,0,"Validation",4.47352974260271,633.804639293196,203.272215503453,0.234609673079103,0.238529057218693,2.08270203100983,37.642591400072,2.44844467360785,64.5372941749036,0,65,10,0.34800116034603
"6",6,"Abbotsford",555091,"2018-01-26",27,5,8111946637,"2015-09-29",2.71320740421401,"10GB($65)",5,1005.31029734538,91.7402349788449,0.173758976011232,0.0218599756864593,1,48.9493257214235,3.98588443110045,67.1069277134696,0,"Validation",4.47352974260271,633.804639293196,203.272215503453,0.234609673079103,0.238529057218693,2.08270203100983,37.642591400072,2.44844467360785,64.5372941749036,1,65,10,0.271320740421401
"7",7,"Abbotsford",623008,"2017-06-24",22,3,3692955976,"2019-03-28",2.35782786164545,"10GB($65)",5,41.378844085386,128.054600879278,0.176768161379474,0.1251302559257,0,25.9980139558739,1.32377715176513,62.4264599222801,0,"Estimation",4.47352974260271,633.804639293196,203.272215503453,0.234609673079103,0.238529057218693,2.08270203100983,37.642591400072,2.44844467360785,64.5372941749036,0,65,10,0.235782786164545
"8",8,"Abbotsford",283758,"2016-12-17",25,5,8919527317,"2017-11-05",4.20097382379721,"10GB($65)",5,897.155324668205,431.175681686348,0.136396802410093,0.0343195909342241,0,37.8630592231973,3.28924726303781,63.729065413928,0,"Estimation",4.47352974260271,633.804639293196,203.272215503453,0.234609673079103,0.238529057218693,2.08270203100983,37.642591400072,2.44844467360785,64.5372941749036,0,65,10,0.420097382379721
"9",9,"Abbotsford",580692,"2017-03-21",39,4,8876966357,"2019-07-18",3.345269923025,"10GB($65)",5,291.266691331259,375.276707380671,0.348963043274368,0.195091748981765,0,19.0798913692476,1.5496202637979,62.95952893894,0,"Estimation",4.47352974260271,633.804639293196,203.272215503453,0.234609673079103,0.238529057218693,2.08270203100983,37.642591400072,2.44844467360785,64.5372941749036,0,65,10,0.3345269923025
"10",10,"Abbotsford",149572,"2019-06-01",51,5,4712724913,"2018-01-26",2.72413929603688,"10GB($65)",0,611.601513781473,360.72077472776,0.281436363451356,0.159785254590185,0,23.7808530149361,1.47532144937799,66.6998575561427,0,"Estimation",4.47352974260271,633.804639293196,203.272215503453,0.234609673079103,0.238529057218693,2.08270203100983,37.642591400072,2.44844467360785,64.5372941749036,1,65,10,0.272413929603688
"11",11,"Abbotsford",149572,"2019-06-01",51,5,8737910055,"2019-07-07",2.69586471691063,"10GB($65)",5,597.779257428537,462.807502094374,0.0544283674722737,0.0341851059503986,0,27.7777783432323,1.56904167225282,64.1962391020644,NA,"Holdout",4.47352974260271,633.804639293196,203.272215503453,0.234609673079103,0.238529057218693,2.08270203100983,37.642591400072,2.44844467360785,64.5372941749036,0,65,10,0.269586471691063
"12",12,"Abbotsford",859449,"2018-12-03",32,4,4676367840,"2017-06-24",1.78224215871619,"10GB($65)",10,472.233500606896,517.613543834537,0.144588489684776,0.0592110060085973,2,148.545928870401,7.49680492973731,64.5104006769029,0,"Validation",4.47352974260271,633.804639293196,203.272215503453,0.234609673079103,0.238529057218693,2.08270203100983,37.642591400072,2.44844467360785,64.5372941749036,1,65,10,0.178224215871619
"14",14,"Abbotsford",349857,"2017-07-04",38,4,8746344292,"2016-12-17",3.4464915944568,"10GB($65)",10,927.756094911678,101.142971029643,0.334222052922877,0.014131555058673,0,4.75487010449217,1.78481752186376,58.4877677098527,NA,"Holdout",4.47352974260271,633.804639293196,203.272215503453,0.234609673079103,0.238529057218693,2.08270203100983,37.642591400072,2.44844467360785,64.5372941749036,1,65,10,0.34464915944568
"15",15,"Abbotsford",651126,"2019-07-13",57,5,5751676568,"2019-07-18",2.47655157901399,"10GB($65)",10,811.447228784247,366.866652924203,0.0482463625066712,0.302142493649994,1,17.9719860954448,2.78238000842576,59.1013279317994,NA,"Holdout",4.47352974260271,633.804639293196,203.272215503453,0.234609673079103,0.238529057218693,2.08270203100983,37.642591400072,2.44844467360785,64.5372941749036,0,65,10,0.247655157901399
"16",16,"Abbotsford",463483,"2017-10-14",37,4,5620975088,"2018-08-10",3.16423415204409,"10GB($65)",0,541.154894580551,413.593979079125,0.452064396278899,0.303068359982529,1,60.3888880957208,3.87705880075348,70.1792175228612,0,"Estimation",4.47352974260271,633.804639293196,203.272215503453,0.234609673079103,0.238529057218693,2.08270203100983,37.642591400072,2.44844467360785,64.5372941749036,0,65,10,0.316423415204409
